time[zone="UTC"],latitude[unit="degrees_north"],longitude[unit="degrees_east"],id[unit=""],pwl[unit="meters"]
2018-06-19T12:00:00Z,21.957,-159.36,nawi,0.147
2018-06-19T12:01:00Z,21.957,-159.36,nawi,0.146
2018-06-19T12:02:00Z,21.957,-159.36,nawi,0.151
2018-06-19T12:03:00Z,21.957,-159.36,nawi,0.15
2018-06-19T12:04:00Z,21.957,-159.36,nawi,0.152
2018-06-19T12:05:00Z,21.957,-159.36,nawi,0.155
2018-06-19T12:06:00Z,21.957,-159.36,nawi,0.157
2018-06-19T12:07:00Z,21.957,-159.36,nawi,0.156
2018-06-19T12:08:00Z,21.957,-159.36,nawi,0.157
2018-06-19T12:09:00Z,21.957,-159.36,nawi,0.158
2018-06-19T12:10:00Z,21.957,-159.36,nawi,0.153
2018-06-19T12:11:00Z,21.957,-159.36,nawi,0.155
2018-06-19T12:12:00Z,21.957,-159.36,nawi,0.151
2018-06-19T12:13:00Z,21.957,-159.36,nawi,0.144
2018-06-19T12:14:00Z,21.957,-159.36,nawi,0.15
2018-06-19T12:15:00Z,21.957,-159.36,nawi,0.147
2018-06-19T12:16:00Z,21.957,-159.36,nawi,0.142
2018-06-19T12:17:00Z,21.957,-159.36,nawi,0.141
2018-06-19T12:18:00Z,21.957,-159.36,nawi,0.143
2018-06-19T12:19:00Z,21.957,-159.36,nawi,0.14
2018-06-19T12:20:00Z,21.957,-159.36,nawi,0.141
2018-06-19T12:21:00Z,21.957,-159.36,nawi,0.147
2018-06-19T12:22:00Z,21.957,-159.36,nawi,0.149
2018-06-19T12:23:00Z,21.957,-159.36,nawi,0.148
2018-06-19T12:24:00Z,21.957,-159.36,nawi,0.15
2018-06-19T12:25:00Z,21.957,-159.36,nawi,0.15
2018-06-19T12:26:00Z,21.957,-159.36,nawi,0.15
2018-06-19T12:27:00Z,21.957,-159.36,nawi,0.147
2018-06-19T12:28:00Z,21.957,-159.36,nawi,0.147
2018-06-19T12:29:00Z,21.957,-159.36,nawi,0.142
2018-06-19T12:30:00Z,21.957,-159.36,nawi,0.13
2018-06-19T12:31:00Z,21.957,-159.36,nawi,0.138
2018-06-19T12:32:00Z,21.957,-159.36,nawi,0.133
2018-06-19T12:33:00Z,21.957,-159.36,nawi,0.126
2018-06-19T12:34:00Z,21.957,-159.36,nawi,0.131
2018-06-19T12:35:00Z,21.957,-159.36,nawi,0.129
2018-06-19T12:36:00Z,21.957,-159.36,nawi,0.127
2018-06-19T12:37:00Z,21.957,-159.36,nawi,0.131
2018-06-19T12:38:00Z,21.957,-159.36,nawi,0.137
2018-06-19T12:39:00Z,21.957,-159.36,nawi,0.142
2018-06-19T12:40:00Z,21.957,-159.36,nawi,0.142
2018-06-19T12:41:00Z,21.957,-159.36,nawi,0.145
2018-06-19T12:42:00Z,21.957,-159.36,nawi,0.145
2018-06-19T12:43:00Z,21.957,-159.36,nawi,0.141
2018-06-19T12:44:00Z,21.957,-159.36,nawi,0.136
2018-06-19T12:45:00Z,21.957,-159.36,nawi,0.137
2018-06-19T12:46:00Z,21.957,-159.36,nawi,0.127
2018-06-19T12:47:00Z,21.957,-159.36,nawi,0.122
2018-06-19T12:48:00Z,21.957,-159.36,nawi,0.124
2018-06-19T12:49:00Z,21.957,-159.36,nawi,0.119
2018-06-19T12:50:00Z,21.957,-159.36,nawi,0.113
2018-06-19T12:51:00Z,21.957,-159.36,nawi,0.121
2018-06-19T12:52:00Z,21.957,-159.36,nawi,0.12
2018-06-19T12:53:00Z,21.957,-159.36,nawi,0.124
2018-06-19T12:54:00Z,21.957,-159.36,nawi,0.133
2018-06-19T12:55:00Z,21.957,-159.36,nawi,0.133
2018-06-19T12:56:00Z,21.957,-159.36,nawi,0.13
2018-06-19T12:57:00Z,21.957,-159.36,nawi,0.132
2018-06-19T12:58:00Z,21.957,-159.36,nawi,0.126
2018-06-19T12:59:00Z,21.957,-159.36,nawi,0.118
2018-06-19T13:00:00Z,21.957,-159.36,nawi,0.122
2018-06-19T13:01:00Z,21.957,-159.36,nawi,0.123
2018-06-19T13:02:00Z,21.957,-159.36,nawi,0.118
2018-06-19T13:03:00Z,21.957,-159.36,nawi,0.124
2018-06-19T13:04:00Z,21.957,-159.36,nawi,0.128
2018-06-19T13:05:00Z,21.957,-159.36,nawi,0.128
2018-06-19T13:06:00Z,21.957,-159.36,nawi,0.13
2018-06-19T13:07:00Z,21.957,-159.36,nawi,0.129
2018-06-19T13:08:00Z,21.957,-159.36,nawi,0.126
2018-06-19T13:09:00Z,21.957,-159.36,nawi,0.117
2018-06-19T13:10:00Z,21.957,-159.36,nawi,0.116
2018-06-19T13:11:00Z,21.957,-159.36,nawi,0.117
2018-06-19T13:12:00Z,21.957,-159.36,nawi,0.117
2018-06-19T13:13:00Z,21.957,-159.36,nawi,0.115
2018-06-19T13:14:00Z,21.957,-159.36,nawi,0.117
2018-06-19T13:15:00Z,21.957,-159.36,nawi,0.111
2018-06-19T13:16:00Z,21.957,-159.36,nawi,0.11
2018-06-19T13:17:00Z,21.957,-159.36,nawi,0.115
2018-06-19T13:18:00Z,21.957,-159.36,nawi,0.118
2018-06-19T13:19:00Z,21.957,-159.36,nawi,0.119
2018-06-19T13:20:00Z,21.957,-159.36,nawi,0.123
2018-06-19T13:21:00Z,21.957,-159.36,nawi,0.12
2018-06-19T13:22:00Z,21.957,-159.36,nawi,0.121
2018-06-19T13:23:00Z,21.957,-159.36,nawi,0.122
2018-06-19T13:24:00Z,21.957,-159.36,nawi,0.113
2018-06-19T13:25:00Z,21.957,-159.36,nawi,0.104
2018-06-19T13:26:00Z,21.957,-159.36,nawi,0.107
2018-06-19T13:27:00Z,21.957,-159.36,nawi,0.099
2018-06-19T13:28:00Z,21.957,-159.36,nawi,0.1
2018-06-19T13:29:00Z,21.957,-159.36,nawi,0.107
2018-06-19T13:30:00Z,21.957,-159.36,nawi,0.099
2018-06-19T13:31:00Z,21.957,-159.36,nawi,0.105
2018-06-19T13:32:00Z,21.957,-159.36,nawi,0.107
